user_id,game_id,user_rating
arabriel,730,Polecane
76561198945295751,730,Odradzane
76561199691109313,730,Odradzane
76561199242077546,730,Polecane
76561199430464619,730,Polecane
76561199794855077,730,Polecane
HIMEKsus,730,Polecane
76561199640328208,730,Polecane
76561198001273807,730,Polecane
76561199652480770,730,Polecane
76561199784639794,730,Polecane
76561199789952121,730,Polecane
76561199769086184,730,Polecane
76561199148230104,730,Polecane
76561199361069976,730,Polecane
76561198408536601,730,Odradzane
76561199046596492,730,Polecane
76561198276129905,730,Polecane
76561199073298322,730,Polecane
76561199433342944,730,Odradzane
76561199617773111,730,Polecane
76561198955319311,730,Polecane
ab3ws3we,730,Polecane
76561199765348526,730,Polecane
76561199269601567,730,Polecane
76561199642999972,730,Polecane
76561199784955497,730,Polecane
76561199005119066,730,Polecane
76561198835570835,730,Polecane
76561198821834052,730,Polecane
sirpatch-csgo,730,Polecane
76561198415983836,730,Polecane
76561199486616910,730,Polecane
76561199397262377,730,Polecane
76561199480206902,730,Polecane
76561199525442382,730,Polecane
ogTesthelper,730,Polecane
76561199036468139,730,Polecane
76561199496756502,730,Polecane
76561199006958281,730,Polecane
845764789569,730,Polecane
76561199771881402,730,Polecane
76561198198115909,730,Odradzane
koikurde,730,Odradzane
76561199102499561,730,Polecane
76561199084216392,730,Odradzane
76561199790706530,730,Polecane
76561198392318844,730,Odradzane
76561199131416392,730,Odradzane
76561198262193102,730,Odradzane
76561199489711187,730,Polecane
76561198350126053,730,Polecane
kuroiKtaiyou,730,Polecane
ChristmasOut,730,Odradzane
Ammy_lly,730,Polecane
Giahottie,730,Odradzane
shayanops,730,Odradzane
76561198127733016,730,Odradzane
76561199624966349,730,Odradzane
76561198850736122,730,Odradzane
hiddenstorm,730,Odradzane
76561199178170802,730,Odradzane
76561199792235517,730,Polecane
76561198080066430,730,Polecane
76561197960910581,730,Odradzane
ImoneMasinaFuraTraukinys,730,Polecane
76561199569913978,730,Polecane
76561199516179154,730,Polecane
76561198910009424,730,Polecane
76561199158994515,730,Odradzane
76561199763209810,730,Polecane
76561198259263046,730,Polecane
76561199213492205,730,Polecane
76561198927847745,730,Polecane
76561199568575333,730,Polecane
76561199388232907,730,Polecane
KeisariAlffa,730,Polecane
76561199201296848,730,Polecane
zge,730,Polecane
76561198915938782,730,Polecane
heatoneGR,730,Odradzane
whatsappburzumgames,730,Polecane
billpilled,730,Polecane
76561198805346755,730,Odradzane
76561198040724003,730,Odradzane
sodasteal,730,Odradzane
76561199229203188,730,Polecane
youngescanor5,730,Polecane
5789248907625872,730,Odradzane
76561198878326927,730,Odradzane
76561197983133567,730,Polecane
cashencia1346,730,Odradzane
ultimatepexe,730,Odradzane
76561197980449584,730,Odradzane
76561198140576162,730,Odradzane
76561199265783062,730,Odradzane
childrenpeter,730,Polecane
76561199212749780,730,Odradzane
76561198233674780,730,Polecane
76561199531812782,730,Odradzane
76561199645310905,730,Polecane
